71603;43.87;293.9
71722;46.3;284
71802;47.52;307.22
71811;50.22;293.73
71815;48.55;301.43
71816;53.3;299.63
71823;53.75;286.33
71836;51.27;279.35
71845;51.45;269.8
71867;53.97;258.9
71906;58.1;291.58
71907;58.47;281.92
71908;53.9;237.2
71909;63.75;291.45
71913;58.75;265.93
71915;64.2;276.63
71917;80;274.07
71924;74.7;265.03
71925;69.1;254.88
71926;64.3;264
71934;60.02;248.07
71945;58.83;237.4
71957;68.32;226.47
71964;60.72;224.93
72201;24.55;278.21
72202;25.76;279.62
72206;30.48;278.3
72208;32.89;279.97
72210;27.71;277.6
72214;30.45;275.7
72215;33.36;275.43
72230;33.18;273.22
72233;30.34;270.17
72240;30.13;266.78
72248;32.45;266.16
72249;32.84;262.7
72250;25.92;262.58
72251;27.78;262.49
72261;29.37;259.08
72265;31.94;257.81
72274;32.23;249.04
72293;32.85;242.88
72305;34.78;283.12
72317;36.1;280.06
72318;37.21;279.59
72327;36.25;273.44
72340;34.84;267.74
72357;35.18;262.56
72363;35.23;258.29
72364;31.87;253.3
72365;35.04;253.38
72376;35.23;248.18
72388;36.05;244.82
72402;37.93;284.53
72403;38.98;282.51
72426;39.42;276.18
72440;37.24;266.6
72451;37.76;260.03
72456;39.07;264.37
72469;39.77;255.13
72476;39.12;251.48
72489;39.57;240.2
72493;37.74;237.78
72501;40.87;287.14
72518;42.69;286.17
72520;40.53;279.78
72528;42.94;281.28
72558;41.32;263.63
72562;41.13;259.3
72572;40.77;248.05
72582;40.86;244.26
72597;42.38;237.12
72632;42.7;276.53
72634;44.91;275.28
72645;44.5;271.89
72649;44.85;266.44
72659;45.45;261.59
72662;44.07;256.79
72672;43.07;251.52
72681;43.57;243.79
72694;44.91;236.99
72712;46.87;291.99
72747;48.56;266.6
72764;46.77;259.24
72768;48.21;253.37
72776;47.46;248.61
72786;47.68;242.37
72797;47.93;235.44
74389;43.89;289.74
74455;41.61;269.42
74494;41.66;290.04
74560;40.15;270.66
74646;36.61;262.51
76458;23.2;253.58
76526;22.75;257.49
76644;20.98;270.35
76654;19.05;255.68
76679;19.43;260.87
78016;32.37;295.32
78526;18.43;294.01
81405;4.83;307.63
82193;-1.38;311.52
82332;-3.15;300.02
82599;-5.92;324.75
82965;-9.87;303.9
83208;-12.7;299.9
83362;-15.65;303.9
83378;-15.87;312.07
83525;-18.88;311.77
